batch,x,y,z,brand,model,angle,sampleNumber,date,c4:41:1e:fa:07:db#1_value,c4:41:1e:fa:07:db#1_error,c4:41:1e:fa:07:db#1_samples_averaged,c4:41:1e:fa:07:da#1_value,c4:41:1e:fa:07:da#1_error,c4:41:1e:fa:07:da#1_samples_averaged,c4:41:1e:fa:07:d9#1_value,c4:41:1e:fa:07:d9#1_error,c4:41:1e:fa:07:d9#1_samples_averaged,cc:f4:11:47:ef:eb#1_value,cc:f4:11:47:ef:eb#1_error,cc:f4:11:47:ef:eb#1_samples_averaged,cc:f4:11:47:ef:e7#1_value,cc:f4:11:47:ef:e7#1_error,cc:f4:11:47:ef:e7#1_samples_averaged
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,0,3136546571469,6.506,0.0,1,6.519,0.0,1,6.03,0.0,1,3.247,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,1,3136649247781,6.154,0.0,1,6.847,0.0,1,8.355,0.0,1,4.185,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,2,3136752541958,6.623,0.0,1,6.753,0.0,1,7.905,0.0,1,4.185,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,3,3136854708895,6.154,0.0,1,6.753,0.0,1,7.417,0.0,1,4.185,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,4,3136955869218,6.388,0.0,1,7.11,0.0,1,6.967,0.0,1,4.185,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,5,3137058829332,6.623,0.0,1,6.744,0.0,1,6.48,0.0,1,4.185,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,6,3137160609655,6.857,0.0,1,6.519,0.0,1,6.48,0.0,1,4.185,0.0,1,7.928,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,7,3137257985602,6.506,0.0,1,6.631,0.0,1,6.03,0.0,1,3.247,0.0,1,7.928,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,8,3137663351163,6.154,0.0,1,6.631,0.0,1,11.167,0.0,1,4.185,0.0,1,7.576,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,9,3137773460966,6.623,0.0,1,6.753,0.0,1,6.967,0.0,1,5.122,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,10,3137877256601,6.271,0.0,1,6.753,0.0,1,10.23,0.0,1,4.185,0.0,1,7.576,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,11,3137979393174,6.154,0.0,1,6.622,0.0,1,6.03,0.0,1,5.122,0.0,1,7.928,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,12,3138083135632,6.74,0.0,1,6.96,0.0,1,10.23,0.0,1,4.185,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,13,3138185112205,6.388,0.0,1,6.753,0.0,1,6.967,0.0,1,4.185,0.0,1,7.928,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,14,3138590429745,6.975,0.0,1,6.725,0.0,1,4.155,0.0,1,4.185,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,15,3138695903610,6.506,0.0,1,6.735,0.0,1,5.542,0.0,1,4.185,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,16,3138798477058,6.388,0.0,1,6.641,0.0,1,6.48,0.0,1,6.06,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,17,3138902061443,6.037,0.0,1,6.753,0.0,1,6.48,0.0,1,4.185,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,18,3139003898588,6.037,0.0,1,6.491,0.0,1,6.03,0.0,1,4.185,0.0,1,7.928,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,19,3139105571776,6.623,0.0,1,6.631,0.0,1,5.542,0.0,1,3.247,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,20,3139208288921,6.506,0.0,1,6.641,0.0,1,6.967,0.0,1,4.185,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,21,3139306878775,6.623,0.0,1,6.744,0.0,1,5.092,0.0,1,3.247,0.0,1,7.928,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,22,3139611946149,6.388,0.0,1,6.613,0.0,1,6.48,0.0,1,4.185,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,23,3139718782149,6.154,0.0,1,6.491,0.0,1,6.03,0.0,1,3.247,0.0,1,7.811,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,24,3139823169139,7.092,0.0,1,6.641,0.0,1,7.417,0.0,1,5.122,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,25,3139925834722,6.154,0.0,1,6.519,0.0,1,9.292,0.0,1,4.185,0.0,1,7.576,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,26,3140029011139,6.74,0.0,1,6.753,0.0,1,6.967,0.0,1,3.247,0.0,1,7.693,0.0,1
5829,0.0,5.0,0.0,google,Pixel 4a,2.0,27,3140130087034,6.623,0.0,1,6.856,0.0,1,6.48,0.0,1,4.185,0.0,1,7.576,0.0,1
