batch,x,y,z,brand,model,angle,sampleNumber,date,c4:41:1e:fa:07:db#1_value,c4:41:1e:fa:07:db#1_error,c4:41:1e:fa:07:db#1_samples_averaged,c4:41:1e:fa:07:da#1_value,c4:41:1e:fa:07:da#1_error,c4:41:1e:fa:07:da#1_samples_averaged,c4:41:1e:fa:07:d9#1_value,c4:41:1e:fa:07:d9#1_error,c4:41:1e:fa:07:d9#1_samples_averaged,cc:f4:11:47:ef:eb#1_value,cc:f4:11:47:ef:eb#1_error,cc:f4:11:47:ef:eb#1_samples_averaged,cc:f4:11:47:ef:e7#1_value,cc:f4:11:47:ef:e7#1_error,cc:f4:11:47:ef:e7#1_samples_averaged
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,28,360132980486,-100.0,,0,7.177,0.0,1,76.173,0.0,1,-100.0,,0,9.504,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,29,360500538923,-100.0,,0,7.696,0.0,1,-100.0,,0,75.519,0.0,1,8.43,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,30,360856059496,-100.0,,0,6.792,0.0,1,-100.0,,0,-100.0,,0,9.172,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,31,361202309808,-100.0,,0,7.924,0.0,1,-100.0,,0,73.058,0.0,1,9.387,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,32,361559708245,-100.0,,0,7.832,0.0,1,76.075,0.0,1,-100.0,,0,8.098,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,33,361908599339,-100.0,,0,7.851,0.0,1,76.173,0.0,1,75.519,0.0,1,7.629,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,34,362295790953,-100.0,,0,8.838,0.0,1,-100.0,,0,-100.0,,0,8.4,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,35,362641395745,-100.0,,0,7.495,0.0,1,-100.0,,0,75.402,0.0,1,8.811,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,36,362987127203,-100.0,,0,7.06,0.0,1,77.228,0.0,1,75.05,0.0,1,9.123,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,37,363414171109,-100.0,,0,7.266,0.0,1,-100.0,,0,72.941,0.0,1,7.785,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,38,363776918765,-100.0,,0,7.358,0.0,1,-100.0,,0,76.457,0.0,1,8.186,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,39,364130098453,-100.0,,0,7.299,0.0,1,-100.0,,0,73.761,0.0,1,8.274,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,40,364478621786,-100.0,,0,8.93,0.0,1,-100.0,,0,75.988,0.0,1,8.43,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,41,364825338817,-100.0,,0,9.008,0.0,1,78.302,0.0,1,74.816,0.0,1,7.863,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,42,365189946994,-100.0,,0,8.887,0.0,1,-100.0,,0,-100.0,,0,7.6,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,43,365540364598,-100.0,,0,8.579,0.0,1,-100.0,,0,-100.0,,0,7.385,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,44,365887920171,-100.0,,0,7.349,0.0,1,-100.0,,0,-100.0,,0,8.342,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,45,366227163504,-100.0,,0,7.534,0.0,1,-100.0,,0,73.996,0.0,1,7.776,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,46,366607104493,-100.0,,0,8.007,0.0,1,76.856,0.0,1,-100.0,,0,7.697,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,47,366942860066,-100.0,,0,7.099,0.0,1,78.536,0.0,1,72.589,0.0,1,9.387,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,48,367305098556,-100.0,,0,7.68,0.0,1,-100.0,,0,73.644,0.0,1,9.103,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,49,367626337722,-100.0,,0,6.958,0.0,1,-100.0,,0,72.003,0.0,1,7.98,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,50,367987755847,-100.0,,0,7.52,0.0,1,-100.0,,0,74.113,0.0,1,8.518,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,51,368324558295,-100.0,,0,8.496,0.0,1,76.075,0.0,1,73.41,0.0,1,7.805,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,52,368680722774,-100.0,,0,7.637,0.0,1,-100.0,,0,73.175,0.0,1,8.586,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,53,369029092826,-100.0,,0,8.041,0.0,1,-100.0,,0,73.175,0.0,1,9.221,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,54,369406080534,-100.0,,0,7.753,0.0,1,-100.0,,0,73.761,0.0,1,7.756,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,55,369794890638,-100.0,,0,8.325,0.0,1,-100.0,,0,-100.0,,0,8.537,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,56,370148558398,-100.0,,0,7.133,0.0,1,-100.0,,0,75.871,0.0,1,8.293,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,57,370524845325,-100.0,,0,7.158,0.0,1,-100.0,,0,-100.0,,0,10.422,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,58,370866079544,-100.0,,0,7.748,0.0,1,-100.0,,0,74.23,0.0,1,8.342,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,59,371252306992,-100.0,,0,6.738,0.0,1,78.4,0.0,1,75.168,0.0,1,-100.0,,0
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,60,371595217877,-100.0,,0,8.095,0.0,1,77.794,0.0,1,-100.0,,0,8.43,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,61,371967514648,-100.0,,0,7.255,0.0,1,-100.0,,0,73.644,0.0,1,8.518,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,62,372298143866,-100.0,,0,7.597,0.0,1,77.814,0.0,1,73.761,0.0,1,9.504,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,63,372660651314,-100.0,,0,7.626,0.0,1,-100.0,,0,-100.0,,0,9.601,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,64,373022047408,-100.0,,0,6.904,0.0,1,-100.0,,0,-100.0,,0,8.303,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,65,373379224022,-100.0,,0,8.778,0.0,1,-100.0,,0,-100.0,,0,8.664,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,66,373720640324,-100.0,,0,7.787,0.0,1,-100.0,,0,74.23,0.0,1,8.518,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,67,374090710845,-100.0,,0,7.538,0.0,1,-100.0,,0,-100.0,,0,8.127,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,68,374454159959,-100.0,,0,8.007,0.0,1,-100.0,,0,-100.0,,0,8.068,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,69,374818090949,-100.0,,0,7.783,0.0,1,76.778,0.0,1,-100.0,,0,9.387,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,70,375176733449,-100.0,,0,6.991,0.0,1,-100.0,,0,74.699,0.0,1,8.195,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,71,375507682563,-100.0,,0,8.193,0.0,1,78.752,0.0,1,74.464,0.0,1,9.221,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,72,375885935167,-100.0,,0,7.583,0.0,1,-100.0,,0,74.582,0.0,1,9.455,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,73,376248273865,-100.0,,0,8.251,0.0,1,-100.0,,0,-100.0,,0,9.777,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,74,376604672302,-100.0,,0,6.679,0.0,1,-100.0,,0,-100.0,,0,6.828,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,75,376974072562,-100.0,,0,8.682,0.0,1,-100.0,,0,75.05,0.0,1,8.977,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,76,377352746469,-100.0,,0,7.929,0.0,1,-100.0,,0,73.878,0.0,1,8.166,0.0,1
5840,0.0,5.0,0.0,Xiaomi,M2007J3SY,2.0,77,377719451937,-100.0,,0,7.372,0.0,1,-100.0,,0,-100.0,,0,9.103,0.0,1
